WKT,ID,Year
"POINT (584566.374956987 4509518.80532656)",252,2017
"POINT (584566.374956987 4509518.80532656)",252,2018
"POINT (584898.637785447 4509875.13596424)",253,2013
"POINT (584898.637785447 4509875.13596424)",253,2015
"POINT (584898.637785447 4509875.13596424)",253,2016
"POINT (584898.637785447 4509875.13596424)",253,2017
"POINT (584898.637785447 4509875.13596424)",253,2018
"POINT (584606.227404535 4509859.01757694)",254,2013
"POINT (584606.227404535 4509859.01757694)",254,2014
"POINT (584606.227404535 4509859.01757694)",254,2015
"POINT (584606.227404535 4509859.01757694)",254,2016
"POINT (584606.227404535 4509859.01757694)",254,2017
"POINT (584606.227404535 4509859.01757694)",254,2018
"POINT (583153.640667167 4500011.06973883)",255,2013
"POINT (583153.640667167 4500011.06973883)",255,2015
"POINT (583153.640667167 4500011.06973883)",255,2016
"POINT (584249.05009387 4508086.1605005)",257,2013
"POINT (584249.05009387 4508086.1605005)",257,2014
"POINT (584249.05009387 4508086.1605005)",257,2015
"POINT (584249.05009387 4508086.1605005)",257,2016
"POINT (584249.05009387 4508086.1605005)",257,2017
"POINT (584249.05009387 4508086.1605005)",257,2018
"POINT (587127.432406426 4504790.44840193)",258,2013
"POINT (587127.432406426 4504790.44840193)",258,2014
"POINT (587127.432406426 4504790.44840193)",258,2015
"POINT (587127.432406426 4504790.44840193)",258,2016
"POINT (587127.432406426 4504790.44840193)",258,2017
"POINT (587127.432406426 4504790.44840193)",258,2018
"POINT (583438.116039421 4506059.64365468)",259,2013
"POINT (583438.116039421 4506059.64365468)",259,2014
"POINT (583438.116039421 4506059.64365468)",259,2015
"POINT (583438.116039421 4506059.64365468)",259,2016
"POINT (583438.116039421 4506059.64365468)",259,2017
"POINT (583438.116039421 4506059.64365468)",259,2018
"POINT (583491.194554084 4506330.07982864)",260,2013
"POINT (583491.194554084 4506330.07982864)",260,2014
"POINT (583491.194554084 4506330.07982864)",260,2015
"POINT (583491.194554084 4506330.07982864)",260,2016
"POINT (583491.194554084 4506330.07982864)",260,2017
"POINT (583491.194554084 4506330.07982864)",260,2018
"POINT (585872.546351515 4505368.83017434)",261,2013
"POINT (585872.546351515 4505368.83017434)",261,2014
"POINT (585872.546351515 4505368.83017434)",261,2015
"POINT (585872.546351515 4505368.83017434)",261,2016
"POINT (585872.546351515 4505368.83017434)",261,2017
"POINT (585872.546351515 4505368.83017434)",261,2018
"POINT (586712.402843567 4505049.24670212)",262,2013
"POINT (586712.403662578 4505049.24893212)",262,2014
"POINT (586712.402843567 4505049.24670212)",262,2015
"POINT (586712.402843567 4505049.24670212)",262,2016
"POINT (586712.402843567 4505049.24670212)",262,2017
"POINT (586712.402843567 4505049.24670212)",262,2018
"POINT (584779.014190524 4507892.20105379)",263,2013
"POINT (584766.676188595 4507858.66289488)",263,2014
"POINT (584766.676188595 4507858.66289488)",263,2015
"POINT (584766.676188595 4507858.66289488)",263,2016
"POINT (583855.194719574 4506713.06796103)",264,2013
"POINT (583855.194719574 4506713.06796103)",264,2014
"POINT (583855.194719574 4506713.06796103)",264,2015
"POINT (583855.194719574 4506713.06796103)",264,2016
"POINT (583855.194719574 4506713.06796103)",264,2017
"POINT (583855.194719574 4506713.06796103)",264,2018
"POINT (585174.13108925 4508418.82105487)",265,2013
"POINT (585174.13108925 4508418.82105487)",265,2014
"POINT (585174.13108925 4508418.82105487)",265,2015
"POINT (585174.13108925 4508418.82105487)",265,2016
"POINT (585174.13108925 4508418.82105487)",265,2017
"POINT (585174.13108925 4508418.82105487)",265,2018
"POINT (586500.581943761 4508588.51066807)",266,2013
"POINT (586500.581943761 4508588.51066807)",266,2014
"POINT (586500.581943761 4508588.51066807)",266,2015
"POINT (586500.581943761 4508588.51066807)",266,2016
"POINT (586500.581943761 4508588.51066807)",266,2017
"POINT (586500.581943761 4508588.51066807)",266,2018
"POINT (585460.124082317 4511606.62045439)",267,2013
"POINT (585460.124082317 4511606.62045439)",267,2014
"POINT (585460.124082317 4511606.62045439)",267,2015
"POINT (585460.124082317 4511606.62045439)",267,2016
"POINT (585460.124082317 4511606.62045439)",267,2017
"POINT (585460.124082317 4511606.62045439)",267,2018
"POINT (584480.726971705 4508056.94485838)",268,2013
"POINT (584480.726971705 4508056.94485838)",268,2014
"POINT (584480.726971705 4508056.94485838)",268,2015
"POINT (584480.726971705 4508056.94485838)",268,2016
"POINT (584480.726971705 4508056.94485838)",268,2017
"POINT (584480.726971705 4508056.94485838)",268,2018
"POINT (586874.697531223 4505195.50188667)",270,2013
"POINT (586874.697531223 4505195.50188667)",270,2014
"POINT (586874.697531223 4505195.50188667)",270,2015
